InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,Region,SpotPrice
n3-A100x1,A100-80G-PCIe,1,28,120.0,"{'Gpus': [{'Name': 'A100-80G-PCIe', 'Manufacturer': null, 'Count': 1, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 81920}",1.35,CANADA-1,
n3-A100x2,A100-80G-PCIe,2,60,240.0,"{'Gpus': [{'Name': 'A100-80G-PCIe', 'Manufacturer': null, 'Count': 2, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 163840}",2.7,CANADA-1,
n3-A100x4,A100-80G-PCIe,4,124,480.0,"{'Gpus': [{'Name': 'A100-80G-PCIe', 'Manufacturer': null, 'Count': 4, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 327680}",5.4,CANADA-1,
n3-A100x8,A100-80G-PCIe,8,252,1440.0,"{'Gpus': [{'Name': 'A100-80G-PCIe', 'Manufacturer': null, 'Count': 8, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 655360}",10.8,CANADA-1,
n3-A100x8-NVLink,A100-80G-PCIe-NVLink,8,252,1920.0,"{'Gpus': [{'Name': 'A100-80G-PCIe-NVLink', 'Manufacturer': null, 'Count': 8, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 655360}",11.2,CANADA-1,
n3-H100x1,H100-80G-PCIe,1,28,180.0,"{'Gpus': [{'Name': 'H100-80G-PCIe', 'Manufacturer': null, 'Count': 1, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 81920}",1.9,CANADA-1,
n3-H100x2,H100-80G-PCIe,2,60,360.0,"{'Gpus': [{'Name': 'H100-80G-PCIe', 'Manufacturer': null, 'Count': 2, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 163840}",3.8,CANADA-1,
n3-H100x4,H100-80G-PCIe,4,124,720.0,"{'Gpus': [{'Name': 'H100-80G-PCIe', 'Manufacturer': null, 'Count': 4, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 327680}",7.6,CANADA-1,
n3-H100x8,H100-80G-PCIe,8,252,1440.0,"{'Gpus': [{'Name': 'H100-80G-PCIe', 'Manufacturer': null, 'Count': 8, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 655360}",15.2,CANADA-1,
n3-H100x8-NVLink,H100-80G-PCIe-NVLink,8,252,1440.0,"{'Gpus': [{'Name': 'H100-80G-PCIe-NVLink', 'Manufacturer': null, 'Count': 8, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 655360}",15.6,CANADA-1,
n3-H100-SXM5x8,H100-80G-SXM5,8,192,1800.0,"{'Gpus': [{'Name': 'H100-80G-SXM5', 'Manufacturer': null, 'Count': 8, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 655360}",19.2,CANADA-1,
n3-H100-SXM5x8,H100-80G-SXM5,8,192,960.0,"{'Gpus': [{'Name': 'H100-80G-SXM5', 'Manufacturer': null, 'Count': 8, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 655360}",19.2,US-1,
n3-L40x1,L40,1,28,58.0,"{'Gpus': [{'Name': 'L40', 'Manufacturer': null, 'Count': 1, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",1.0,CANADA-1,
n3-L40x2,L40,2,60,116.0,"{'Gpus': [{'Name': 'L40', 'Manufacturer': null, 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 98304}",2.0,CANADA-1,
n3-L40x4,L40,4,124,232.0,"{'Gpus': [{'Name': 'L40', 'Manufacturer': null, 'Count': 4, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 196608}",4.0,CANADA-1,
n3-L40x8,L40,8,252,464.0,"{'Gpus': [{'Name': 'L40', 'Manufacturer': null, 'Count': 8, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 393216}",8.0,CANADA-1,
n3-RTX-A4000x1,RTX-A4000,1,4,21.0,"{'Gpus': [{'Name': 'RTX-A4000', 'Manufacturer': null, 'Count': 1, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",0.15,NORWAY-1,
n3-RTX-A4000x2,RTX-A4000,2,8,43.0,"{'Gpus': [{'Name': 'RTX-A4000', 'Manufacturer': null, 'Count': 2, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 32768}",0.3,NORWAY-1,
n3-RTX-A4000x4,RTX-A4000,4,16,86.0,"{'Gpus': [{'Name': 'RTX-A4000', 'Manufacturer': null, 'Count': 4, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 65536}",0.6,NORWAY-1,
n3-RTX-A4000x8,RTX-A4000,8,32,172.0,"{'Gpus': [{'Name': 'RTX-A4000', 'Manufacturer': null, 'Count': 8, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 131072}",1.2,NORWAY-1,
n3-RTX-A4000x10,RTX-A4000,10,56,215.0,"{'Gpus': [{'Name': 'RTX-A4000', 'Manufacturer': null, 'Count': 10, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 163840}",1.5,NORWAY-1,
n3-RTX-A6000x1,RTX-A6000,1,28,58.0,"{'Gpus': [{'Name': 'RTX-A6000', 'Manufacturer': null, 'Count': 1, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",0.5,CANADA-1,
n3-RTX-A6000x2,RTX-A6000,2,60,116.0,"{'Gpus': [{'Name': 'RTX-A6000', 'Manufacturer': null, 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 98304}",1.0,CANADA-1,
n3-RTX-A6000x4,RTX-A6000,4,124,232.0,"{'Gpus': [{'Name': 'RTX-A6000', 'Manufacturer': null, 'Count': 4, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 196608}",2.0,CANADA-1,
n3-RTX-A6000x8,RTX-A6000,8,252,464.0,"{'Gpus': [{'Name': 'RTX-A6000', 'Manufacturer': null, 'Count': 8, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 393216}",4.0,CANADA-1,
